time_sec,samples_in_window,mean_b0_ch0,mean_b0_ch1,mean_b0_ch2,mean_b0_ch3,mean_b0_ch4,mean_b0_ch5,mean_b0_ch6,mean_b0_ch7,mean_b1_ch0,mean_b1_ch1,mean_b1_ch2,mean_b1_ch3,mean_b1_ch4,mean_b1_ch5,mean_b1_ch6,mean_b1_ch7,mean_b2_ch0,mean_b2_ch1,mean_b2_ch2,mean_b2_ch3,mean_b2_ch4,mean_b2_ch5,mean_b2_ch6,mean_b2_ch7,mean_b3_ch0,mean_b3_ch1,mean_b3_ch2,mean_b3_ch3,mean_b3_ch4,mean_b3_ch5,mean_b3_ch6,mean_b3_ch7,mean_b4_ch0,mean_b4_ch1,mean_b4_ch2,mean_b4_ch3,mean_b4_ch4,mean_b4_ch5,mean_b4_ch6,mean_b4_ch7,mean_b5_ch0,mean_b5_ch1,mean_b5_ch2,mean_b5_ch3,mean_b5_ch4,mean_b5_ch5,mean_b5_ch6,mean_b5_ch7,var_b0_ch0,var_b0_ch1,var_b0_ch2,var_b0_ch3,var_b0_ch4,var_b0_ch5,var_b0_ch6,var_b0_ch7,var_b1_ch0,var_b1_ch1,var_b1_ch2,var_b1_ch3,var_b1_ch4,var_b1_ch5,var_b1_ch6,var_b1_ch7,var_b2_ch0,var_b2_ch1,var_b2_ch2,var_b2_ch3,var_b2_ch4,var_b2_ch5,var_b2_ch6,var_b2_ch7,var_b3_ch0,var_b3_ch1,var_b3_ch2,var_b3_ch3,var_b3_ch4,var_b3_ch5,var_b3_ch6,var_b3_ch7,var_b4_ch0,var_b4_ch1,var_b4_ch2,var_b4_ch3,var_b4_ch4,var_b4_ch5,var_b4_ch6,var_b4_ch7,var_b5_ch0,var_b5_ch1,var_b5_ch2,var_b5_ch3,var_b5_ch4,var_b5_ch5,var_b5_ch6,var_b5_ch7
52.665,50,57.9677773,49.0656853,36.7584724,36.7652817,53.7339058,55.4504623,33.2148972,36.4442368,50.5422249,48.1744232,35.3325157,35.3383636,50.8544426,51.5040436,33.6425362,34.7259026,48.3590317,48.1493225,33.6502991,33.6572571,47.9165344,48.6952438,29.2666359,30.9256821,44.1213188,45.9632912,30.5302639,30.5369606,46.1477776,46.4100494,24.16996,30.7352581,41.5150375,44.9233208,26.9005814,26.9065933,43.7396545,44.0325546,25.5837021,28.171833,44.3430367,48.670536,29.2154388,29.22118,45.1654587,46.0391159,28.9999199,29.8615017,27.0881195,58.3226891,2.23718905,2.23313069,11.2367039,13.6781111,14.0855484,13.0583296,63.028183,86.0918884,7.97002268,7.95664644,26.9352875,37.2390137,12.1363039,9.43237019,48.0927773,50.7472343,2.17861247,2.17158985,23.5142746,26.3950539,4.5815773,3.97950792,25.9865932,36.2772331,1.22885287,1.23250151,30.0679283,25.5992546,4.71311808,2.27884579,27.230051,23.0416126,5.0288887,5.0291934,38.5776062,32.3705826,3.27057433,1.97654641,49.881134,38.3971825,3.14252043,3.13906002,37.7817802,35.2062035,7.45410919,5.46155405
54.947,50,70.3432159,72.6959,34.8777504,34.8787994,71.7111359,71.1254196,40.2269058,33.4120598,53.6688805,62.2664108,35.520443,35.5196762,59.5827751,60.8581505,39.5340652,34.0875778,49.8228798,55.0582962,32.8487434,32.8510437,55.0317345,55.2099075,33.637001,31.3777237,50.8476944,53.3733482,30.1995831,30.2073212,53.6632767,53.547821,28.6367989,31.0291023,49.4015427,52.4406242,26.3486042,26.3456173,53.6516304,53.6741447,29.5414963,29.4357414,50.3071175,53.7561913,29.7222996,29.731739,55.7091789,55.6556168,31.7192631,30.9621029,41.414978,11.8857183,3.66459751,3.67992091,64.1160202,51.6156006,7.99209309,6.47825527,12.5689945,35.8057022,2.87430358,2.87872505,19.052578,10.0782442,4.76764584,10.5835476,11.4228373,78.5134659,2.35678291,2.35153031,9.0406723,1.80922556,2.96634579,10.3857212,13.0893669,79.5337448,7.23860121,7.20860481,25.0369167,19.1696796,4.76205921,18.5009003,18.5061378,58.7924538,1.94716251,1.95422578,23.5457687,14.0527382,3.37806177,15.0028248,5.61263371,81.1007614,2.59961748,2.58655953,8.94636822,2.20720577,1.96092069,9.36429787
55.608,51,71.3054886,68.7674179,37.2971954,37.302021,74.5946808,73.5274811,39.8862915,31.9766846,53.3120804,55.7491302,36.6858635,36.6876793,60.8011932,60.6456642,38.3765717,32.5579414,47.9585342,47.8451233,33.1473732,33.1497459,55.8307343,54.8475761,32.1575241,29.1036434,49.610508,45.7653694,29.6730518,29.6803131,54.4375687,53.7736282,28.696907,27.5590992,46.9271126,45.5987282,26.5011997,26.498003,54.5985527,53.8833008,29.4116879,25.9386826,49.5900116,45.9062729,29.611805,29.6230316,55.0251427,53.9231453,29.4215908,27.9920845,23.9730988,64.9699707,13.6505356,13.6782455,16.183403,15.1968307,12.2780857,0.523748398,12.9871244,46.6321335,5.88277102,5.89480352,17.8118248,18.4996529,11.6157007,2.13950706,12.1415911,41.8549194,1.7211324,1.71739089,6.78384924,6.38889933,5.05782795,2.54166055,18.3551159,47.3312569,5.0874486,5.06058121,16.105072,18.7084293,8.38382721,12.6033516,25.9913692,42.1956863,2.19501925,2.20147872,17.3842735,17.1624069,7.77445602,12.0555973,7.30194139,50.5643044,2.20295763,2.19352722,16.7287922,15.120573,11.1389151,10.7517376
56.315,50,68.3031921,59.1597328,38.3422394,38.3470764,71.5556946,71.8942795,38.57724,31.3733616,53.5535355,50.0152702,36.5821304,36.5828438,60.7366486,60.4186096,37.2971764,31.9063988,48.3686752,45.2356606,32.2289505,32.2300987,56.5186462,55.6910095,32.6837196,28.4251614,49.5038414,41.9710197,28.7343216,28.7377777,52.7458992,52.191494,29.1022854,25.8323994,45.1446648,42.5447083,26.119936,26.1133957,53.7216949,52.9148178,29.5764999,23.5909805,48.8144417,41.8023186,28.9167194,28.9243431,53.0836639,52.4069862,28.1029816,25.9077759,23.6602726,114.429237,13.5093985,13.5439663,26.0867729,14.7345505,20.2196503,1.80904543,16.133585,19.6526756,10.1298132,10.1526947,16.7235851,18.4072857,13.66502,2.99740338,15.7219887,5.32241678,4.34797239,4.35428095,7.84917021,8.24998379,4.85149717,1.12073624,18.0024986,5.64797926,6.62343025,6.61510801,13.208252,15.3072329,7.72690725,3.4834075,12.3713531,8.45707703,3.67277193,3.68980861,15.6098633,15.3433456,7.70080519,3.23761034,4.3309474,8.04846191,4.21805143,4.22612572,12.5130501,11.2299614,8.38624573,4.76981497
57.025,48,65.3183212,48.9052925,39.4295006,39.4310646,67.730278,69.3619614,34.9162254,29.4942093,56.9590149,44.3589363,37.6668968,37.6662025,57.9706078,58.4787292,34.4899864,29.8667297,51.7795296,43.258255,32.7689972,32.7652702,55.5560913,55.5496712,32.1541634,27.2734966,50.7816734,39.3940849,29.292984,29.2863102,50.8612175,50.713398,27.6275635,25.5025425,46.5965576,39.9460411,26.3585644,26.3496094,50.9485893,50.4580269,27.4389133,22.1382694,49.8919373,39.7520638,29.3254013,29.3274364,51.6079407,51.4970741,26.7748184,24.982481,3.14825964,55.5970726,5.38516283,5.40073872,8.23932266,5.16782713,12.2975092,9.44049549,12.339324,31.2966099,7.06877565,7.0817709,7.03754234,8.81220055,6.58976269,12.8627319,18.4945755,18.4922943,4.32978582,4.32952261,9.64596272,9.33876896,7.37406063,3.83875465,12.1664677,10.8156672,4.56592417,4.58669329,6.43635941,8.89003468,6.40493107,2.045192,8.90925598,15.2277403,2.55842042,2.57583237,16.5625343,13.4364977,12.5596476,3.93938518,4.30582714,3.6434226,3.07363367,3.08768964,5.1441412,7.02572155,4.41665459,2.11709809
58.910,48,62.1608276,49.1410828,36.3237877,36.3234978,62.9957466,62.1997108,36.6021881,32.8264008,58.460144,49.1275177,35.7124329,35.7078552,60.3824463,60.780407,36.510376,33.3966904,56.5993614,46.1795044,33.3408356,33.334774,56.4712105,56.4448128,31.6644192,32.0844574,54.0401039,43.0362434,31.5712738,31.566061,53.7093353,54.0835152,29.7734203,28.8464203,53.7566261,44.0050392,29.3942242,29.3936634,54.1633606,54.0535164,29.5766888,29.2452698,53.8492928,45.5808907,30.5733051,30.5721436,55.8321037,55.9380798,31.8855762,30.7815037,1.02369499,7.63225651,1.62883461,1.6209656,4.26149464,2.33659577,22.0206699,1.38603151,18.6461773,8.35687733,2.0880816,2.08518362,2.91257262,2.24115419,14.0030661,3.1355598,11.1302071,3.18848133,0.755748808,0.754755259,2.96991634,1.95186079,6.04302502,1.94147539,8.88469887,10.7616339,2.12210202,2.12456322,17.9423084,11.9282207,2.27781653,2.30389738,7.38823318,10.0773973,3.50058174,3.50382352,17.1760712,13.3553057,9.97784328,6.26479387,3.51416779,8.5891943,1.16388261,1.16221476,17.186594,12.256176,4.34597683,6.07837725
5.135,50,54.9833755,52.5265923,-173.820801,-421.814636,64.7405853,64.9638214,39.6175995,31.9218369,52.2501221,51.4972267,-194.206879,0,62.384079,61.9481163,37.5717545,31.6611786,51.6462631,49.7536507,-203.919434,0,60.7405548,60.4747887,35.1443787,32.2524185,50.3904533,47.7846985,-207.98436,0,58.8146324,58.6607094,33.0314026,30.4273624,48.3052216,44.8848228,-222.658905,0,56.0336266,56.2244492,31.6438828,26.9979858,53.250927,48.1223183,-216.753571,0,58.8139496,58.2160187,32.3751526,31.6705837,15.6768017,12.3823996,0.024528265,277.272034,16.4085655,9.5954628,9.56238842,12.6844425,31.3165894,8.2026329,0.0671865717,0,26.3438778,26.3300571,20.2137318,1.16162825,26.1979294,3.07839584,0.0247590542,0,9.6811924,7.62024832,7.9460125,5.97864342,19.5397606,1.0664382,0,0,1.70717788,2.0996418,7.40984154,3.50483847,12.1209507,1.9336108,0.00810490455,0,5.6911912,4.98123884,3.67426682,0.439754248,9.62002659,1.12163496,0.0263696983,0,4.65615082,3.52676129,3.16553497,2.97211242
6.755,51,57.4867363,50.9207687,-173.820236,-79.0006409,53.2096405,55.4622192,36.9047279,31.3809624,53.490097,49.5553284,-194.208923,0,49.2421112,50.7825394,34.7459793,31.3298035,49.5522308,47.0482903,-203.919846,0,48.6001511,51.1070518,34.6402321,29.2011986,47.6213341,46.2364426,-207.98761,0,47.3048172,49.3896179,32.7152176,27.7109623,44.2572365,43.7181549,-222.656845,0,45.3038406,47.3635101,30.4887619,25.538023,45.8219795,43.9102287,-216.75235,0,44.7715149,45.9733925,28.9902973,27.1744728,25.1840858,3.94176626,0.0235321466,29125.6328,35.0395775,39.8616714,2.11246705,5.18948507,31.7436008,1.69008458,0.0698764324,0,22.5638485,14.3473186,1.23303509,1.00469398,32.672123,0.864878416,0.020796949,0,33.9523201,28.5699844,1.60766578,0.164513335,34.7358856,4.99875212,0,0,72.0201416,61.7884445,10.1762075,1.99435329,32.0744858,1.23623717,0.0113645829,0,49.0798454,43.4493713,3.34817839,1.64434242,49.6906738,3.12692046,0.0203954801,0,53.5368462,47.2460098,4.90488577,3.57592058
7.881,48,47.8639984,51.8851967,-173.833237,0,45.0547676,45.8379974,35.9946022,32.790226,45.4152374,50.7955818,-194.188583,0,43.7615967,45.0231628,35.1056213,32.3149223,41.5092659,47.4832268,-203.906677,0,41.3850632,42.9108124,31.25354,30.1542683,39.2090645,44.1600647,-207.976578,0,38.216671,39.6349907,27.7071915,27.4035816,37.2164116,43.8536034,-222.644974,0,37.144062,38.4160042,27.1948109,26.3887119,36.9012489,42.897213,-216.744156,0,36.4535408,37.3411446,26.5273952,26.6390171,34.5305748,3.29697037,0.0194922462,0,9.15873623,10.0911255,2.83941793,1.45525479,25.8773518,2.49954152,0.0636184365,0,2.73320293,6.46510077,3.31422257,1.71124876,11.7775974,0.935460091,0.0161932074,0,5.03081894,11.8913069,7.11540508,3.88117719,21.0224304,2.17591739,0,0,5.43869495,10.9596024,6.32692194,3.4726696,11.6545286,1.26393795,0.0242554378,0,4.99150658,10.065237,5.10144138,7.63472319,15.496192,1.14686739,0.013858974,0,4.63142824,8.06958675,2.44958401,3.7992301
9.118,49,45.9712563,51.3838348,-173.813797,0,46.014698,45.9942856,35.1077309,34.6051445,46.7519379,51.0871391,-194.216522,0,46.8703651,46.8706741,35.7784653,34.1537552,43.2313194,48.3326721,-203.919464,0,43.3519363,43.355751,31.4245281,32.6443062,38.4702911,45.3006477,-207.981949,0,38.6143417,38.6163712,27.6882839,29.3186741,39.5742645,44.6179161,-222.669357,0,39.7091179,39.7113876,28.0790672,28.5546322,38.2435875,43.0782585,-216.751633,0,38.3576279,38.3572388,26.651329,28.1765118,3.04447722,2.84263062,0.0295984615,0,3.28208685,3.35381866,3.87264848,7.27425718,5.35811234,2.51266289,0.0870292634,0,5.24675226,5.23805094,11.355402,8.1052351,3.33805466,2.12638974,0.0240315497,0,3.25744271,3.23978949,11.5550013,1.1058656,3.36238337,6.47192001,0,0,3.39257336,3.39465332,7.502244,3.04303527,4.38832951,2.31382799,0.0604446903,0,4.25114202,4.24726915,14.8966722,3.77122521,3.82034969,1.43344319,0.0266010333,0,3.7131362,3.71844983,7.12829113,2.39033723
10.061,49,45.3883018,50.1893692,-173.830841,0,45.4972305,45.5040703,30.9981041,34.7567978,45.1016731,48.827919,-194.188461,0,45.1668129,45.1670532,30.9940567,31.8017483,40.6423378,44.9080505,-203.907745,0,40.7068977,40.707901,28.5746555,30.0824223,35.3722229,41.4384689,-207.979294,0,35.4844856,35.483078,24.294693,26.7514706,36.2021027,40.8980637,-222.65123,0,36.287487,36.287693,23.9449615,24.6717529,36.443264,41.3338318,-216.741577,0,36.5344658,36.5333862,24.5520039,26.6951485,13.0355997,7.95470953,0.0203354508,0,13.1807251,13.1896467,26.4230843,16.1383476,25.620575,18.8926754,0.0641527474,0,26.2995892,26.2541981,55.7474174,52.3404579,25.9478149,24.8408489,0.0102879098,0,26.539175,26.5037594,31.3700428,17.7556953,11.8560181,27.3502407,5.95354941E-05,0,12.1358261,12.1265907,28.700449,9.38592243,38.2667732,20.5428467,0.00796754286,0,38.6433334,38.6613426,52.5636215,22.6912651,15.3332109,4.67267513,0.00670395792,0,15.3625698,15.3704062,12.8872166,5.10684109
